"""Time (s)"",""Latitude (°)"",""Longitude (°)"",""Height (m)"",""Velocity (m/s)"",""Direction (°)"",""Horizontal Accuracy (m)"",""Vertical Accuracy (m)"""
2.150279594E2,6.507788139E1,2.541621148E1,1.147718469E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.160271648E2,6.507788216E1,2.541621294E1,1.153046824E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.170293566E2,6.507788175E1,2.541621293E1,1.148682828E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.180299779E2,6.507788114E1,2.541621178E1,1.135987526E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.190280058E2,6.507788104E1,2.541620863E1,1.126789493E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.200318759E2,6.507788172E1,2.541620578E1,1.140424682E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.210290774E2,6.507788154E1,2.541620291E1,1.144495698E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.220269651E2,6.507788130E1,2.541620074E1,1.158246902E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.230293919E2,6.507788142E1,2.541619965E1,1.167969783E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.240297744E2,6.507788093E1,2.541619716E1,1.174976609E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.250325006E2,6.507788053E1,2.541619733E1,1.183326237E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.260285835E2,6.507787941E1,2.541619224E1,1.192621875E1,3.100000024E-1,2.388999939E2,3.790092468E0,2.500000000E0
2.270284971E2,6.507787686E1,2.541617572E1,1.174970407E1,9.599999785E-1,2.391999969E2,3.790092468E0,2.500000000E0
2.280298401E2,6.507787377E1,2.541615937E1,1.204316035E1,6.600000262E-1,2.391999969E2,3.790092468E0,2.500000000E0
2.290291520E2,6.507786994E1,2.541613620E1,1.200031237E1,1.529999971E0,2.493000031E2,3.790092468E0,2.500000000E0
2.300291839E2,6.507786691E1,2.541610647E1,1.237915512E1,1.379999995E0,2.586000061E2,3.790092468E0,2.500000000E0
2.310370702E2,6.507786542E1,2.541607976E1,1.257092484E1,1.259999990E0,2.613999939E2,3.790092468E0,2.500000000E0
2.320319491E2,6.507786466E1,2.541605283E1,1.256768690E1,1.279999971E0,2.680000000E2,3.790092468E0,2.500000000E0
2.330325661E2,6.507786396E1,2.541602807E1,1.316808690E1,1.110000014E0,2.610000000E2,3.790092468E0,2.500000000E0
2.340273950E2,6.507786288E1,2.541600583E1,1.338500350E1,1.070000052E0,2.603999939E2,3.790092468E0,2.500000000E0
2.350283176E2,6.507786012E1,2.541598174E1,1.323375651E1,1.269999981E0,2.511000061E2,3.790092468E0,2.500000000E0
2.360295557E2,6.507785692E1,2.541595743E1,1.279955070E1,1.190000057E0,2.592999878E2,3.790092468E0,2.500000000E0
2.370281818E2,6.507785519E1,2.541593238E1,1.306138909E1,1.269999981E0,2.667000122E2,3.790092468E0,2.500000000E0
2.380293523E2,6.507785580E1,2.541590501E1,1.328514026E1,1.269999981E0,2.746000061E2,3.790092468E0,2.500000000E0
2.390301534E2,6.507785852E1,2.541588693E1,1.360813486E1,5.899999738E-1,2.681000061E2,3.790092468E0,2.500000000E0
2.400336117E2,6.507786112E1,2.541588379E1,1.380234723E1,2.800000012E-1,2.682000122E2,3.790092468E0,2.500000000E0
2.410272557E2,6.507786410E1,2.541589523E1,1.399534057E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.420268749E2,6.507786489E1,2.541590056E1,1.350828036E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.430281143E2,6.507786470E1,2.541590081E1,1.312375899E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.440305723E2,6.507786487E1,2.541590116E1,1.314023845E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.450307394E2,6.507786484E1,2.541590116E1,1.314652508E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.460312890E2,6.507786505E1,2.541590046E1,1.325705957E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.470304802E2,6.507786623E1,2.541589405E1,1.351255143E1,3.400000036E-1,2.792000122E2,3.790092468E0,2.500000000E0
2.480366872E2,6.507786599E1,2.541588629E1,1.452732106E1,4.000000060E-1,2.792000122E2,3.790092468E0,2.500000000E0
2.490297157E2,6.507786452E1,2.541587629E1,1.500144151E1,4.900000095E-1,2.792000122E2,3.790092468E0,2.500000000E0
2.500300341E2,6.507786420E1,2.541585842E1,1.543137103E1,9.499999881E-1,2.792999878E2,3.790092468E0,2.500000000E0
2.510280735E2,6.507786471E1,2.541583450E1,1.566946594E1,1.059999943E0,2.792999878E2,3.790092468E0,2.500000000E0
2.520314997E2,6.507786686E1,2.541580800E1,1.569686646E1,1.269999981E0,2.875000000E2,3.790092468E0,2.500000000E0
2.530298658E2,6.507787147E1,2.541577908E1,1.548903613E1,1.350000024E0,2.908999939E2,3.790092468E0,2.500000000E0
2.540303024E2,6.507787669E1,2.541574875E1,1.549788018E1,1.419999957E0,2.927999878E2,3.790092468E0,2.500000000E0
2.550299385E2,6.507788248E1,2.541571831E1,1.527613314E1,1.429999948E0,2.932999878E2,3.790092468E0,2.500000000E0
2.560286937E2,6.507788668E1,2.541568812E1,1.526636191E1,1.370000005E0,2.830000000E2,3.790092468E0,2.500000000E0
2.570310407E2,6.507788964E1,2.541565691E1,1.493371511E1,1.509999990E0,2.812999878E2,3.790092468E0,2.500000000E0
2.580318587E2,6.507788994E1,2.541563058E1,1.500646556E1,1.000000000E0,2.785000000E2,3.790092468E0,2.500000000E0
2.590291347E2,6.507788754E1,2.541560402E1,1.524920004E1,1.419999957E0,2.612000122E2,3.790092468E0,2.500000000E0
2.600289041E2,6.507788557E1,2.541557597E1,1.532829890E1,1.240000010E0,2.585000000E2,3.790092468E0,2.500000000E0
2.610269988E2,6.507788311E1,2.541555168E1,1.525352881E1,1.289999962E0,2.567000122E2,3.790092468E0,2.500000000E0
2.620277195E2,6.507788045E1,2.541552509E1,1.534831418E1,1.470000029E0,2.556000061E2,3.790092468E0,2.500000000E0
2.630316691E2,6.507787717E1,2.541550012E1,1.511637883E1,1.230000019E0,2.541000061E2,3.790092468E0,2.500000000E0
2.640295741E2,6.507787479E1,2.541547699E1,1.469688229E1,1.220000029E0,2.543000031E2,3.790092468E0,2.500000000E0
2.650308458E2,6.507787655E1,2.541546209E1,1.521244363E1,5.299999714E-1,3.198999939E2,3.790092468E0,2.500000000E0
2.660311220E2,6.507788220E1,2.541546355E1,1.528141113E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.670281593E2,6.507788422E1,2.541546516E1,1.523050715E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.680285185E2,6.507788488E1,2.541546437E1,1.531217181E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.690301002E2,6.507788513E1,2.541546494E1,1.522702773E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.700279179E2,6.507788506E1,2.541546366E1,1.539176149E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.710318959E2,6.507788511E1,2.541546117E1,1.554709563E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.720292026E2,6.507788513E1,2.541545911E1,1.574033266E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.730323583E2,6.507788479E1,2.541545800E1,1.599185854E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.740300424E2,6.507788424E1,2.541545647E1,1.618039618E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.750300304E2,6.507788372E1,2.541545521E1,1.621524732E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.760286100E2,6.507788337E1,2.541545454E1,1.624704670E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.770293415E2,6.507788324E1,2.541545366E1,1.628024977E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.780303818E2,6.507788235E1,2.541544758E1,1.675693395E1,5.000000000E-1,3.211000061E2,3.790092468E0,2.500000000E0
2.790299952E2,6.507788398E1,2.541543520E1,1.666623345E1,7.099999785E-1,3.208999939E2,3.790092468E0,2.500000000E0
2.800273898E2,6.507788602E1,2.541542674E1,1.702725446E1,2.099999934E-1,3.210000000E2,3.790092468E0,2.500000000E0
2.810278757E2,6.507788411E1,2.541540780E1,1.734848091E1,1.659999967E0,2.608999939E2,3.790092468E0,2.500000000E0
2.820323110E2,6.507788177E1,2.541537995E1,1.723922546E1,1.370000005E0,2.657999878E2,3.790092468E0,2.500000000E0
2.830283306E2,6.507788023E1,2.541535440E1,1.696981371E1,1.490000010E0,2.622999878E2,3.790092468E0,2.500000000E0
2.840306690E2,6.507787919E1,2.541532854E1,1.655251352E1,1.299999952E0,2.657000122E2,3.790092468E0,2.500000000E0
2.850283355E2,6.507788052E1,2.541529959E1,1.657826613E1,1.789999962E0,2.743999939E2,3.790092468E0,2.500000000E0
2.860298400E2,6.507788176E1,2.541527141E1,1.623756380E1,1.360000014E0,2.706000061E2,3.790092468E0,2.500000000E0
2.870287562E2,6.507788342E1,2.541524313E1,1.616035004E1,1.620000005E0,2.740000000E2,3.790092468E0,2.500000000E0
2.880296159E2,6.507788449E1,2.541521388E1,1.628369794E1,1.409999967E0,2.706000061E2,3.790092468E0,2.500000000E0
2.890301828E2,6.507788530E1,2.541518721E1,1.598962684E1,1.269999981E0,2.730000000E2,3.790092468E0,2.500000000E0
2.900297404E2,6.507788611E1,2.541517506E1,1.610437106E1,2.399999946E-1,2.737999878E2,3.790092468E0,2.500000000E0
2.910283142E2,6.507788619E1,2.541517506E1,1.628967376E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.920335597E2,6.507788475E1,2.541518248E1,1.646570070E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.930319351E2,6.507788382E1,2.541518630E1,1.639868498E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.940310574E2,6.507788335E1,2.541518730E1,1.632110962E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.950418375E2,6.507788310E1,2.541518697E1,1.622259894E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.960285835E2,6.507788297E1,2.541518776E1,1.637231834E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.970377786E2,6.507788405E1,2.541519118E1,1.610345845E1,2.500000000E-1,2.737000122E2,3.790092468E0,2.500000000E0
2.980281851E2,6.507788645E1,2.541519130E1,1.625751017E1,3.799999952E-1,2.737999878E2,3.790092468E0,2.500000000E0
2.990320349E2,6.507788661E1,2.541518771E1,1.612573475E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.000291361E2,6.507788590E1,2.541518485E1,1.635571516E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.010313830E2,6.507788527E1,2.541518159E1,1.629065154E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.020278087E2,6.507788467E1,2.541517999E1,1.623565892E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.030283096E2,6.507788441E1,2.541517909E1,1.622509983E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.040291983E2,6.507788422E1,2.541517621E1,1.640240668E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.050329046E2,6.507788414E1,2.541517679E1,1.615686235E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.060304563E2,6.507788465E1,2.541517489E1,1.625268709E1,1.599999964E-1,2.737000122E2,3.790092468E0,2.500000000E0
3.070289664E2,6.507788514E1,2.541517469E1,1.580468881E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.080271484E2,6.507788404E1,2.541517164E1,1.584668108E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.090296175E2,6.507788415E1,2.541516680E1,1.616558911E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.100303550E2,6.507788503E1,2.541516033E1,1.641558792E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.110299856E2,6.507788609E1,2.541515784E1,1.662957641E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.120293740E2,6.507788652E1,2.541515892E1,1.659069697E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.130316994E2,6.507788644E1,2.541515770E1,1.656872419E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.140312167E2,6.507788640E1,2.541515686E1,1.658599705E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.150316872E2,6.507788611E1,2.541515470E1,1.669055013E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.160332847E2,6.507788589E1,2.541515449E1,1.672143398E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.170290648E2,6.507788571E1,2.541515386E1,1.671417080E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.180319220E2,6.507788558E1,2.541515315E1,1.674261314E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.190337598E2,6.507788557E1,2.541515288E1,1.673321370E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.200309098E2,6.507788559E1,2.541515275E1,1.674163653E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.210292798E2,6.507788560E1,2.541515270E1,1.673931718E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.220301853E2,6.507788561E1,2.541515267E1,1.673443436E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.230318572E2,6.507788563E1,2.541515264E1,1.673437331E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.240306878E2,6.507788563E1,2.541515260E1,1.673528883E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.250310409E2,6.507788562E1,2.541515256E1,1.673534987E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.260310852E2,6.507788419E1,2.541514957E1,1.638293311E1,3.199999928E-1,2.737000122E2,3.790092468E0,2.500000000E0
3.270318052E2,6.507788245E1,2.541514642E1,1.517877085E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.280307833E2,6.507787874E1,2.541514775E1,1.500054995E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.290298931E2,6.507787511E1,2.541514719E1,1.500488492E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.300312106E2,6.507787174E1,2.541514454E1,1.486572587E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.310313718E2,6.507786782E1,2.541514291E1,1.503271952E1,3.400000036E-1,2.737000122E2,3.790092468E0,2.500000000E0
3.320346348E2,6.507786152E1,2.541513836E1,1.422540962E1,7.699999809E-1,2.737000122E2,3.790092468E0,2.500000000E0
3.330293513E2,6.507785349E1,2.541512508E1,1.358014769E1,1.250000000E0,2.353999939E2,3.790092468E0,2.500000000E0
3.340314991E2,6.507784851E1,2.541510136E1,1.327075961E1,1.360000014E0,2.576000061E2,3.790092468E0,2.500000000E0
3.350301412E2,6.507784759E1,2.541507603E1,1.347510251E1,1.029999971E0,2.726000061E2,3.790092468E0,2.500000000E0
3.360399328E2,6.507784827E1,2.541505248E1,1.378393713E1,1.210000038E0,2.610000000E2,3.790092468E0,2.500000000E0
3.370295246E2,6.507784922E1,2.541502576E1,1.327410669E1,1.399999976E0,2.721000061E2,3.790092468E0,2.500000000E0
3.380286936E2,6.507785039E1,2.541499877E1,1.357702026E1,1.279999971E0,2.716000061E2,3.790092468E0,2.500000000E0
3.390271301E2,6.507785212E1,2.541497449E1,1.366460191E1,1.179999948E0,2.771000061E2,3.790092468E0,2.500000000E0
3.400304254E2,6.507785461E1,2.541495140E1,1.388658279E1,1.139999986E0,2.757999878E2,3.790092468E0,2.500000000E0
3.410302902E2,6.507785701E1,2.541492731E1,1.381297033E1,1.240000010E0,2.772000122E2,3.790092468E0,2.500000000E0
3.420334310E2,6.507786011E1,2.541490093E1,1.412638120E1,1.370000005E0,2.803999939E2,3.790092468E0,2.500000000E0
3.430319221E2,6.507786403E1,2.541487341E1,1.428164949E1,1.330000043E0,2.793999939E2,3.790092468E0,2.500000000E0
3.440277351E2,6.507787088E1,2.541484489E1,1.451778798E1,1.610000014E0,2.797000122E2,3.790092468E0,2.500000000E0
3.450284423E2,6.507787596E1,2.541481695E1,1.490163238E1,1.299999952E0,2.810000000E2,3.790092468E0,2.500000000E0
3.460314741E2,6.507788053E1,2.541479211E1,1.491041636E1,1.279999971E0,2.892000122E2,3.790092468E0,2.500000000E0
3.470319432E2,6.507788164E1,2.541476709E1,1.506519788E1,1.139999986E0,2.725000000E2,3.790092468E0,2.500000000E0
3.480311493E2,6.507788133E1,2.541474424E1,1.513031964E1,1.009999990E0,2.746000061E2,3.790092468E0,2.500000000E0
3.490302123E2,6.507788086E1,2.541471884E1,1.556665696E1,1.279999971E0,2.693999939E2,3.790092468E0,2.500000000E0
3.500346450E2,6.507787935E1,2.541469003E1,1.529175162E1,1.320000052E0,2.663999939E2,3.790092468E0,2.500000000E0
3.510317697E2,6.507787831E1,2.541466477E1,1.555932700E1,9.900000095E-1,2.645000000E2,3.790092468E0,2.500000000E0
3.520313973E2,6.507787801E1,2.541464725E1,1.542681759E1,6.999999881E-1,2.647000122E2,3.790092468E0,2.500000000E0
3.530316090E2,6.507787736E1,2.541462987E1,1.538787524E1,8.999999762E-1,2.642999878E2,3.790092468E0,2.500000000E0
3.540311382E2,6.507787550E1,2.541461274E1,1.528277133E1,8.100000024E-1,2.360000000E2,3.790092468E0,2.500000000E0
3.550305574E2,6.507787300E1,2.541459816E1,1.495965044E1,6.399999857E-1,2.361000061E2,3.790092468E0,2.500000000E0
3.560285311E2,6.507787235E1,2.541459113E1,1.503569963E1,2.199999988E-1,2.361999969E2,3.790092468E0,2.500000000E0
3.570290260E2,6.507787386E1,2.541459000E1,1.533977599E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.580281692E2,6.507787466E1,2.541458558E1,1.485161591E1,2.500000000E-1,2.361999969E2,3.790092468E0,2.500000000E0
3.590280189E2,6.507787510E1,2.541457739E1,1.452892182E1,2.199999988E-1,2.361999969E2,3.790092468E0,2.500000000E0
3.600269272E2,6.507787619E1,2.541457004E1,1.429326369E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.610293051E2,6.507787619E1,2.541456729E1,1.400267496E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.620302360E2,6.507787631E1,2.541456781E1,1.397819988E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.630300074E2,6.507787653E1,2.541456781E1,1.377818758E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.640315205E2,6.507787559E1,2.541456781E1,1.356468700E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.650332285E2,6.507787578E1,2.541456910E1,1.339238484E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.660301647E2,6.507787550E1,2.541457062E1,1.351646962E1,1.700000018E-1,2.361999969E2,3.790092468E0,2.500000000E0
3.670295621E2,6.507787496E1,2.541457246E1,1.354735387E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.680329802E2,6.507787518E1,2.541457015E1,1.377947019E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.690324563E2,6.507787520E1,2.541456741E1,1.414561973E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.700334516E2,6.507787455E1,2.541456650E1,1.428075173E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.710312517E2,6.507787201E1,2.541456375E1,1.368095999E1,5.099999905E-1,2.361999969E2,3.790092468E0,2.500000000E0
3.720353943E2,6.507786856E1,2.541455675E1,1.323766224E1,6.100000143E-1,2.611000061E2,3.790092468E0,2.500000000E0
3.730374464E2,6.507786546E1,2.541453708E1,1.319402094E1,1.379999995E0,2.545000000E2,3.790092468E0,2.500000000E0
3.740334821E2,6.507786245E1,2.541451235E1,1.303880670E1,1.100000024E0,2.572000122E2,3.790092468E0,2.500000000E0
3.750304113E2,6.507786052E1,2.541448836E1,1.257682939E1,1.330000043E0,2.598999939E2,3.790092468E0,2.500000000E0
3.760340447E2,6.507785877E1,2.541445969E1,1.221549839E1,1.539999962E0,2.608999939E2,3.790092468E0,2.500000000E0
3.770335468E2,6.507785726E1,2.541443132E1,1.202238022E1,1.299999952E0,2.651000061E2,3.790092468E0,2.500000000E0
3.780307950E2,6.507785637E1,2.541440299E1,1.178885651E1,1.429999948E0,2.650000000E2,3.790092468E0,2.500000000E0
3.790308507E2,6.507785535E1,2.541437571E1,1.164206395E1,1.299999952E0,2.652000122E2,3.790092468E0,2.500000000E0
3.800332054E2,6.507785544E1,2.541434864E1,1.171853754E1,1.360000014E0,2.727999878E2,3.790092468E0,2.500000000E0
3.810302955E2,6.507785643E1,2.541432529E1,1.163009423E1,1.120000005E0,2.677999878E2,3.790092468E0,2.500000000E0
3.820387045E2,6.507785812E1,2.541430019E1,1.144112549E1,1.379999995E0,2.807999878E2,3.790092468E0,2.500000000E0
3.830304208E2,6.507785988E1,2.541427212E1,1.137257871E1,1.360000014E0,2.778999939E2,3.790092468E0,2.500000000E0
3.840298280E2,6.507786172E1,2.541424745E1,1.112489415E1,1.120000005E0,2.778999939E2,3.790092468E0,2.500000000E0
3.850304678E2,6.507786296E1,2.541421963E1,1.129993893E1,1.480000019E0,2.751000061E2,3.790092468E0,2.500000000E0
3.860283038E2,6.507786438E1,2.541419257E1,1.116187338E1,1.139999986E0,2.798999939E2,3.790092468E0,2.500000000E0
3.870296318E2,6.507786420E1,2.541416832E1,1.140356961E1,1.149999976E0,2.685000000E2,3.790092468E0,2.500000000E0
3.880326833E2,6.507786398E1,2.541414023E1,1.150122241E1,1.340000033E0,2.721000061E2,3.790092468E0,2.500000000E0
3.890292481E2,6.507786607E1,2.541411190E1,1.199798307E1,1.350000024E0,2.816000061E2,3.790092468E0,2.500000000E0
3.900316152E2,6.507787033E1,2.541408524E1,1.187682310E1,1.230000019E0,2.935000000E2,3.790092468E0,2.500000000E0
3.910467837E2,6.507787415E1,2.541406054E1,1.231498973E1,1.149999976E0,2.896000061E2,3.790092468E0,2.500000000E0
3.920356849E2,6.507787469E1,2.541403284E1,1.255729557E1,1.409999967E0,2.673999939E2,3.790092468E0,2.500000000E0
3.930307422E2,6.507787318E1,2.541400396E1,1.277775155E1,1.250000000E0,2.612000122E2,3.790092468E0,2.500000000E0
3.940306738E2,6.507787226E1,2.541397640E1,1.263633001E1,1.289999962E0,2.655000000E2,3.790092468E0,2.500000000E0
3.950353134E2,6.507787262E1,2.541394816E1,1.250619933E1,1.389999986E0,2.736000061E2,3.790092468E0,2.500000000E0
3.960323621E2,6.507787374E1,2.541392215E1,1.237515309E1,1.169999957E0,2.706000061E2,3.790092468E0,2.500000000E0
3.970318254E2,6.507787446E1,2.541389885E1,1.198373138E1,1.120000005E0,2.686000061E2,3.790092468E0,2.500000000E0
3.980307933E2,6.507787617E1,2.541387013E1,1.206862692E1,1.620000005E0,2.767000122E2,3.790092468E0,2.500000000E0
3.990297574E2,6.507787904E1,2.541384104E1,1.216261616E1,1.220000029E0,2.818999939E2,3.790092468E0,2.500000000E0
4.000291084E2,6.507788236E1,2.541381545E1,1.221259930E1,1.259999990E0,2.847999878E2,3.790092468E0,2.500000000E0
4.010283382E2,6.507788459E1,2.541378850E1,1.191163059E1,1.259999990E0,2.766000061E2,3.790092468E0,2.500000000E0
4.020295672E2,6.507788452E1,2.541376391E1,1.174658845E1,1.100000024E0,2.646000061E2,3.790092468E0,2.500000000E0
4.030288635E2,6.507788317E1,2.541374432E1,1.177570032E1,8.100000024E-1,2.535000000E2,3.790092468E0,2.500000000E0
4.040308720E2,6.507788168E1,2.541373598E1,1.193487959E1,2.199999988E-1,2.533999939E2,3.790092468E0,2.500000000E0
4.050326028E2,6.507788109E1,2.541372855E1,1.185211523E1,5.799999833E-1,2.535000000E2,3.790092468E0,2.500000000E0
4.060365819E2,6.507788130E1,2.541371555E1,1.189026047E1,7.400000095E-1,2.536999969E2,3.790092468E0,2.500000000E0
4.070318797E2,6.507788178E1,2.541370282E1,1.196289049E1,5.799999833E-1,2.538000031E2,3.790092468E0,2.500000000E0
4.080326198E2,6.507788359E1,2.541369136E1,1.176171640E1,5.899999738E-1,2.541000061E2,3.790092468E0,2.500000000E0
4.090315124E2,6.507788727E1,2.541368251E1,1.187542220E1,5.199999809E-1,2.538999939E2,3.790092468E0,2.500000000E0
4.100309055E2,6.507789039E1,2.541368020E1,1.189037419E1,1.700000018E-1,2.540000000E2,3.790092468E0,2.500000000E0
4.110286426E2,6.507789246E1,2.541368212E1,1.183861573E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.120334034E2,6.507789077E1,2.541369081E1,1.165935730E1,7.099999785E-1,1.475000000E2,3.790092468E0,2.500000000E0
4.130316026E2,6.507788618E1,2.541370123E1,1.159600609E1,5.500000119E-1,1.475000000E2,3.790092468E0,2.500000000E0
4.140308837E2,6.507788448E1,2.541370539E1,1.178161525E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.150319487E2,6.507788362E1,2.541370559E1,1.180834904E1,2.300000042E-1,1.475000000E2,3.790092468E0,2.500000000E0
4.160289186E2,6.507788390E1,2.541370529E1,1.167047046E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.170284509E2,6.507788255E1,2.541370221E1,1.176330512E1,2.500000000E-1,1.475000000E2,3.790092468E0,2.500000000E0
4.180291560E2,6.507787926E1,2.541369916E1,1.163305712E1,3.499999940E-1,1.476000061E2,3.790092468E0,2.500000000E0
4.190286903E2,6.507787799E1,2.541368950E1,1.192742900E1,7.099999785E-1,1.475000000E2,3.790092468E0,2.500000000E0
4.200279487E2,6.507787809E1,2.541368239E1,1.222259408E1,2.599999905E-1,1.475000000E2,3.790092468E0,2.500000000E0
4.210273270E2,6.507787984E1,2.541368533E1,1.215887300E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.220298800E2,6.507788094E1,2.541368563E1,1.196020313E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.230305878E2,6.507788124E1,2.541368463E1,1.195367212E1,2.500000000E-1,1.475000000E2,3.790092468E0,2.500000000E0
4.240282169E2,6.507788133E1,2.541368095E1,1.198199192E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.250301526E2,6.507788186E1,2.541367741E1,1.194414945E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
4.260283217E2,6.507788287E1,2.541367370E1,1.213585998E1,1.800000072E-1,1.475000000E2,3.790092468E0,2.500000000E0
4.270281469E2,6.507788637E1,2.541367081E1,1.204137570E1,4.600000083E-1,1.500000000E1,3.790092468E0,2.500000000E0
4.280306972E2,6.507789176E1,2.541366567E1,1.202580878E1,7.099999785E-1,1.460000038E1,3.790092468E0,2.500000000E0
4.290297675E2,6.507790254E1,2.541365973E1,1.203007588E1,1.529999971E0,3.502999878E2,3.790092468E0,2.500000000E0
4.300313497E2,6.507791332E1,2.541365331E1,1.181699673E1,9.200000167E-1,3.522000122E2,3.790092468E0,2.500000000E0
4.310301093E2,6.507792315E1,2.541365162E1,1.202042249E1,1.299999952E0,1.000000000E0,3.790092468E0,2.500000000E0
4.320309143E2,6.507793015E1,2.541365028E1,1.234122011E1,5.000000000E-1,3.561000061E2,3.790092468E0,2.500000000E0
4.330303147E2,6.507793366E1,2.541364642E1,1.229885972E1,6.800000072E-1,3.557000122E2,3.790092468E0,2.500000000E0
4.340320400E2,6.507794191E1,2.541363967E1,1.235421422E1,1.470000029E0,3.442000122E2,3.790092468E0,2.500000000E0
4.350307244E2,6.507794877E1,2.541363293E1,1.252339989E1,5.600000024E-1,3.500000000E2,3.790092468E0,2.500000000E0
